OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
26,Murphy Point Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,a281639f-6f25-4b97-9380-5249afee652f
27,White Rim Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,<Null>,2014-07-31T00:00:00.000Z,,Yes,409c578a-a5b5-4262-ad94-336306e6d499
28,Lockhart Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,bc4dcabb-8a81-4259-abee-7f0aad3901c7
29,Bobbys Hole Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,8e820916-dd2f-4684-9377-ddf28759df2a
30,West Fork Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,e0094a3a-b3d8-4595-bfa5-5ff1ec56f159
31,Angel Arch Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2009-08-04T00:00:00.000Z,,Yes,1ea9f099-4fae-443f-b980-3c29ae041ebf
32,Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,fb2e259c-4b25-4d51-be18-4284e259c7cf
33,Davis Canyon Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,8b743ed6-5c8b-46ae-b753-65a317e39847
34,Salt Creek Canyon Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian | Bicycle,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,ed717665-9e80-40c0-a36a-e54577ba8d00
35,Tower Ruins Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,6b72347a-1675-40a7-b6dd-2c1024cd4f3a
36,Potash Road,Shafer Canyon Road,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,d536662c-c3e0-49b5-a003-cc9b1488153d
37,Musselman Arch Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,5919872f-e22e-4cd7-a80d-6fb8306b403b
38,Cave Spring Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,f0db6e7a-13ff-4161-bc02-1406dc934551
39,Lavender Creek Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,03ae81b6-b17a-416f-8831-6a4e611c42a9
40,Neck Spring Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2001-08-14T00:00:00.000Z,,Yes,0b35ec3a-1e9a-475f-9baa-8cb0969727d8
41,Grandview Point Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2004-06-29T00:00:00.000Z,,Yes,fc357e18-8ba9-4396-9d77-c55344c27b65
42,Murphy Overlook Trail,Murphy Point Trail,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2002-07-20T00:00:00.000Z,,Yes,3ebe9e1f-9a10-4dee-99c7-7b0e72089cf0
43,White Rim Overlook Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2002-07-20T00:00:00.000Z,,Yes,a665e013-ef91-49f6-84c4-6d1d0245c007
44,Murphy Hogback Trail,Murphy Point Trail,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2002-07-15T00:00:00.000Z,,Yes,55bc0d9b-eacb-4984-a515-a171c6041b10
45,Murphy Wash Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2002-07-15T00:00:00.000Z,,Yes,6038efe1-a5d0-4706-a784-5e305f63be57
46,Green River Overlook Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,096164fd-3b5a-43de-814c-7a43a046d4c9
47,Loop Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,249336e4-ae5d-400e-b7e3-7ad342b3e13a
48,Airport Campsite Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,29e8865d-394e-4ddf-8d72-709e949cd6bc
49,Aztec Butte Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,2810b852-6031-4c71-84f7-7514353f7900
50,Buck Canyon Overlook Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,51ce1931-645a-4d68-ac2b-62be93c2f41e
51,Mesa Arch Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,1ac49500-8cb7-4f84-ad99-0c3e2f75d735
52,Whale Rock Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2002-07-20T00:00:00.000Z,,Yes,3376cb89-aafb-4c9b-b262-bf98aff07d99
