OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
87,Connector Trail,,Connector Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2007-06-14T00:00:00.000Z,,Yes,19a384af-4214-4af5-8e65-1c5795206761
88,Deertrap Mountain Trail,,Deertrap Mountain Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-08-12T00:00:00.000Z,,Yes,7228ecfd-4d5f-44da-b229-0cbb372b298d
89,Scoggins Wash Trail,,Scoggins Wash Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-06-24T00:00:00.000Z,,Yes,7cb6e0c1-0e33-411a-b425-7a8c77d718af
90,Kolob Arch Trail,,Kolob Arch Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-08-25T00:00:00.000Z,,Yes,925af3f5-2511-470f-95fd-3e8fa8d8171f
91,Coalpits Wash Trail,,Coalpits Wash Trail,Unmaintained Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-06-24T00:00:00.000Z,,Yes,0cc538d0-77bb-4a5e-a214-41484b3257f9
92,Wrangler Trail,,Wrangler Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-06-20T00:00:00.000Z,,Yes,41b1486a-7f6b-45f2-8a04-dcc2c10c29a5
94,East Rim Trail,,East Rim Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2008-08-01T00:00:00.000Z,,Yes,25cc31c8-9398-4744-ac8d-047b0c8ce2f7
95,Watchman Trail,,Watchman Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2004-11-14T00:00:00.000Z,,Yes,6296ae74-e33e-4c0e-99c2-d50a20e9dfda
96,La Verkin Creek Trail,,La Verkin Creek Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian | Equestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Heads-Up Digitized,,,,Yes,0c8915fa-e260-4982-af45-09c8b4f6d980
97,Grotto Trail,,Grotto Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Differential GPS,,2014-07-31T00:00:00.000Z,,Yes,0a7db641-e72c-4480-866b-8ccb74fe9709
98,Lower Emerald Pools Trail,,Lower Emerald Pools Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,ZION,Zion National Park,2015-10-08T00:00:00.000Z,Heads-Up Digitized,,,,Yes,a11e8000-8afc-4097-8f8b-7db388369ac0
